Time µs,Current.Ia,Current.Ib,Current.Ic,Voltage.Va,Voltage.Vb,Voltage.Vc
1133827200007876992,1291.50390625,-281.982421875,-910.64453125,12817.3828125,3796.38671875,-16381.8359375
1133827200007942016,1281.73828125,-214.84375,-949.70703125,12573.2421875,4223.6328125,-16406.25
1133827200008007040,1281.73828125,-214.84375,-949.70703125,12304.6875,4638.671875,-16540.52734375
1133827200008071936,1257.32421875,-158.69140625,-1009.521484375,11938.4765625,5102.5390625,-16748.046875
1133827200008137984,1257.32421875,-158.69140625,-1009.521484375,11547.8515625,5444.3359375,-16870.1171875
1133827200008203008,1228.02734375,-111.083984375,-1048.583984375,11291.50390625,5920.41015625,-16821.2890625
1133827200008268032,1228.02734375,-111.083984375,-1048.583984375,10925.29296875,6298.828125,-16931.15234375
1133827200008333056,1204.833984375,-42.724609375,-1083.984375,10620.1171875,6799.31640625,-16955.56640625
1133827200008397952,1204.833984375,-42.724609375,-1083.984375,10205.078125,7153.3203125,-17004.39453125
1133827200008462976,1179.19921875,0.0,-1127.9296875,9924.31640625,7568.359375,-17004.39453125
1133827200008528000,1179.19921875,0.0,-1127.9296875,9448.2421875,7861.328125,-17041.015625
1133827200008593024,1152.34375,57.373046875,-1170.654296875,9167.48046875,8264.16015625,-17138.671875
1133827200008658048,1152.34375,57.373046875,-1170.654296875,8752.44140625,8691.40625,-17126.46484375
1133827200008722944,1124.267578125,103.759765625,-1210.9375,8508.30078125,9155.2734375,-17175.29296875
1133827200008788992,1124.267578125,103.759765625,-1210.9375,8007.8125,9411.62109375,-17150.87890625
1133827200008854016,1088.8671875,168.45703125,-1246.337890625,7690.4296875,9826.66015625,-17089.84375
1133827200008919040,1088.8671875,168.45703125,-1246.337890625,7214.35546875,10131.8359375,-17053.22265625
1133827200008984064,1037.59765625,202.63671875,-1281.73828125,6872.55859375,10559.08203125,-16955.56640625
1133827200009048960,1037.59765625,202.63671875,-1281.73828125,6445.3125,10815.4296875,-16955.56640625
1133827200009113984,1007.080078125,268.5546875,-1300.048828125,6188.96484375,11157.2265625,-16894.53125
1133827200009179008,1007.080078125,268.5546875,-1300.048828125,5749.51171875,11389.16015625,-16845.703125
1133827200009244032,958.251953125,301.513671875,-1341.552734375,5358.88671875,11816.40625,-16821.2890625
1133827200009309056,958.251953125,301.513671875,-1341.552734375,4895.01953125,12084.9609375,-16711.42578125
1133827200009374976,932.6171875,377.197265625,-1339.111328125,4614.2578125,12402.34375,-16613.76953125
1133827200009440000,932.6171875,377.197265625,-1339.111328125,4162.59765625,12622.0703125,-16516.11328125
1133827200009505024,885.009765625,404.052734375,-1381.8359375,3918.45703125,13012.6953125,-16369.62890625
1133827200009570048,885.009765625,404.052734375,-1381.8359375,3356.93359375,13159.1796875,-16394.04296875
1133827200009634944,845.947265625,469.970703125,-1381.8359375,3076.171875,13488.76953125,-16052.24609375
1133827200009699968,845.947265625,469.970703125,-1381.8359375,2563.4765625,13720.703125,-15966.796875
1133827200009764992,784.912109375,499.267578125,-1394.04296875,2209.47265625,13989.2578125,-15832.51953125
1133827200009830016,784.912109375,499.267578125,-1394.04296875,1684.5703125,14160.15625,-15551.7578125
1133827200009895040,744.62890625,565.185546875,-1408.69140625,1330.56640625,14355.46875,-15551.7578125
1133827200009959936,744.62890625,565.185546875,-1408.69140625,964.35546875,14672.8515625,-15161.1328125
1133827200010025984,670.166015625,594.482421875,-1408.69140625,512.6953125,14733.88671875,-14941.40625
1133827200010091008,670.166015625,594.482421875,-1408.69140625,183.10546875,15100.09765625,-14746.09375
1133827200010156032,625.0,649.4140625,-1403.80859375,-183.10546875,15209.9609375,-14562.98828125
1133827200010221056,625.0,649.4140625,-1403.80859375,-622.55859375,15454.1015625,-14489.74609375
1133827200010285952,550.537109375,687.255859375,-1406.25,-1074.21875,15551.7578125,-14111.328125
1133827200010350976,550.537109375,687.255859375,-1406.25,-1550.29296875,15759.27734375,-13818.359375
1133827200010416000,480.95703125,737.3046875,-1402.587890625,-2026.3671875,15991.2109375,-13452.1484375
1133827200010481024,480.95703125,737.3046875,-1402.587890625,-2258.30078125,16052.24609375,-13427.734375
1133827200010546048,434.5703125,788.57421875,-1372.0703125,-2697.75390625,16186.5234375,-13122.55859375
1133827200010610944,434.5703125,788.57421875,-1372.0703125,-3259.27734375,16381.8359375,-12841.796875
1133827200010676992,347.900390625,838.623046875,-1384.27734375,-3515.625,16528.3203125,-12573.2421875
1133827200010742016,347.900390625,838.623046875,-1384.27734375,-4016.11328125,16601.5625,-12219.23828125
1133827200010807040,270.99609375,887.451171875,-1356.201171875,-4431.15234375,16796.875,-11926.26953125
1133827200010872064,270.99609375,887.451171875,-1356.201171875,-4846.19140625,16760.25390625,-11694.3359375
1133827200010936960,214.84375,915.52734375,-1348.876953125,-5139.16015625,16955.56640625,-11279.296875
1133827200011001984,214.84375,915.52734375,-1348.876953125,-5627.44140625,17041.015625,-10998.53515625
1133827200011067008,155.029296875,969.23828125,-1314.697265625,-6005.859375,17028.80859375,-10754.39453125
1133827200011132032,155.029296875,969.23828125,-1314.697265625,-6311.03515625,17150.87890625,-10363.76953125
1133827200011197056,93.994140625,994.873046875,-1286.62109375,-6762.6953125,17089.84375,-10046.38671875
1133827200011262976,93.994140625,994.873046875,-1286.62109375,-7092.28515625,17236.328125,-9680.17578125
1133827200011328000,23.193359375,1029.052734375,-1247.55859375,-7434.08203125,17260.7421875,-9570.3125
1133827200011393024,23.193359375,1029.052734375,-1247.55859375,-7849.12109375,17272.94921875,-8996.58203125
1133827200011458048,-30.517578125,1085.205078125,-1218.26171875,-8251.953125,17504.8828125,-8642.578125
1133827200011522944,-30.517578125,1085.205078125,-1218.26171875,-8593.75,17297.36328125,-8251.953125
1133827200011587968,-69.580078125,1103.515625,-1168.212890625,-8728.02734375,17309.5703125,-7946.77734375
1133827200011652992,-69.580078125,1103.515625,-1168.212890625,-9265.13671875,17321.77734375,-7592.7734375
1133827200011718016,-150.146484375,1131.591796875,-1135.25390625,-9643.5546875,17236.328125,-7153.3203125
1133827200011783040,-150.146484375,1131.591796875,-1135.25390625,-9997.55859375,17187.5,-6713.8671875
1133827200011847936,-223.388671875,1147.4609375,-1083.984375,-10339.35546875,17224.12109375,-6408.69140625
1133827200011913984,-223.388671875,1147.4609375,-1083.984375,-10742.1875,16992.1875,-6030.2734375
1133827200011979008,-267.333984375,1180.419921875,-1036.376953125,-11022.94921875,17065.4296875,-5578.61328125
1133827200012044032,-267.333984375,1180.419921875,-1036.376953125,-11279.296875,16943.359375,-5200.1953125
1133827200012109056,-312.5,1213.37890625,-982.666015625,-11694.3359375,16870.1171875,-4821.77734375
1133827200012173952,-312.5,1213.37890625,-982.666015625,-11914.0625,16772.4609375,-4382.32421875
1133827200012238976,-375.9765625,1204.833984375,-939.94140625,-12280.2734375,16638.18359375,-3881.8359375
1133827200012304000,-375.9765625,1204.833984375,-939.94140625,-12487.79296875,16589.35546875,-3540.0390625
1133827200012369024,-418.701171875,1220.703125,-886.23046875,-12841.796875,16308.59375,-3186.03515625
1133827200012434048,-418.701171875,1220.703125,-886.23046875,-13098.14453125,16247.55859375,-2722.16796875
1133827200012499968,-484.619140625,1225.5859375,-832.51953125,-13488.76953125,16052.24609375,-2307.12890625
1133827200012564992,-484.619140625,1225.5859375,-832.51953125,-13574.21875,15966.796875,-1831.0546875
1133827200012630016,-540.771484375,1223.14453125,-773.92578125,-13867.1875,15722.65625,-1452.63671875
1133827200012695040,-540.771484375,1223.14453125,-773.92578125,-14062.5,15502.9296875,-1000.9765625
1133827200012760064,-587.158203125,1215.8203125,-723.876953125,-14294.43359375,15295.41015625,-671.38671875
1133827200012824960,-587.158203125,1215.8203125,-723.876953125,-14538.57421875,15112.3046875,-207.51953125
1133827200012889984,-633.544921875,1215.8203125,-651.85546875,-14733.88671875,14904.78515625,207.51953125
1133827200012955008,-633.544921875,1215.8203125,-651.85546875,-14904.78515625,14636.23046875,622.55859375
1133827200013020032,-672.607421875,1221.923828125,-583.49609375,-15100.09765625,14440.91796875,1074.21875
1133827200013085056,-672.607421875,1221.923828125,-583.49609375,-15246.58203125,14099.12109375,1477.05078125
1133827200013150976,-726.318359375,1195.068359375,-540.771484375,-15356.4453125,13867.1875,1989.74609375
1133827200013216000,-726.318359375,1195.068359375,-540.771484375,-15539.55078125,13623.046875,2282.71484375
1133827200013281024,-760.498046875,1207.275390625,-451.66015625,-15759.27734375,13378.90625,2807.6171875
1133827200013346048,-760.498046875,1207.275390625,-451.66015625,-15954.58984375,13134.765625,3198.2421875
1133827200013410944,-838.623046875,1160.888671875,-418.701171875,-16125.48828125,12768.5546875,3637.6953125
1133827200013475968,-838.623046875,1160.888671875,-418.701171875,-16125.48828125,12548.828125,4064.94140625
1133827200013540992,-856.93359375,1169.43359375,-323.486328125,-16357.421875,12194.82421875,4431.15234375
1133827200013606016,-856.93359375,1169.43359375,-323.486328125,-16430.6640625,12011.71875,4931.640625
1133827200013671040,-930.17578125,1110.83984375,-289.306640625,-16540.52734375,11645.5078125,5126.953125
1133827200013735936,-930.17578125,1110.83984375,-289.306640625,-16662.59765625,11376.953125,5664.0625
1133827200013801984,-935.05859375,1119.384765625,-198.974609375,-16662.59765625,11010.7421875,5944.82421875
1133827200013867008,-935.05859375,1119.384765625,-198.974609375,-16784.66796875,10766.6015625,6445.3125
1133827200013932032,-1019.287109375,1062.01171875,-157.470703125,-16833.49609375,10424.8046875,6799.31640625
1133827200013997056,-1019.287109375,1062.01171875,-157.470703125,-16918.9453125,10095.21484375,7287.59765625
1133827200014061952,-1048.583984375,1046.142578125,-90.33203125,-17053.22265625,9777.83203125,7641.6015625
1133827200014126976,-1048.583984375,1046.142578125,-90.33203125,-17016.6015625,9484.86328125,8032.2265625
1133827200014192000,-1097.412109375,1000.9765625,-13.427734375,-17199.70703125,9106.4453125,8386.23046875
1133827200014257024,-1097.412109375,1000.9765625,-13.427734375,-17138.671875,8740.234375,8679.19921875
1133827200014322048,-1136.474609375,963.134765625,23.193359375,-17114.2578125,8398.4375,9069.82421875
1133827200014387968,-1136.474609375,963.134765625,23.193359375,-17114.2578125,8056.640625,9484.86328125
1133827200014452992,-1162.109375,936.279296875,93.994140625,-17077.63671875,7641.6015625,9777.83203125
1133827200014518016,-1162.109375,936.279296875,93.994140625,-17102.05078125,7324.21875,10119.62890625
1133827200014583040,-1210.9375,882.568359375,139.16015625,-17016.6015625,6896.97265625,10375.9765625
1133827200014648064,-1210.9375,882.568359375,139.16015625,-17041.015625,6567.3828125,10864.2578125
1133827200014712960,-1226.806640625,845.947265625,213.623046875,-16967.7734375,6127.9296875,11059.5703125
1133827200014777984,-1226.806640625,845.947265625,213.623046875,-16809.08203125,5737.3046875,11413.57421875
1133827200014843008,-1265.869140625,795.8984375,272.216796875,-16723.6328125,5358.88671875,11743.1640625
1133827200014908032,-1265.869140625,795.8984375,272.216796875,-16674.8046875,4895.01953125,12011.71875
1133827200014973056,-1276.85546875,743.408203125,332.03125,-16503.90625,4541.015625,12377.9296875
1133827200015038976,-1276.85546875,743.408203125,332.03125,-16467.28515625,4138.18359375,12573.2421875
1133827200015104000,-1291.50390625,717.7734375,405.2734375,-16284.1796875,3759.765625,12902.83203125
1133827200015169024,-1291.50390625,717.7734375,405.2734375,-16088.8671875,3295.8984375,13171.38671875
1133827200015234048,-1300.048828125,657.958984375,460.205078125,-15966.796875,2905.2734375,13415.52734375
1133827200015298944,-1300.048828125,657.958984375,460.205078125,-15820.3125,2404.78515625,13757.32421875
1133827200015363968,-1317.138671875,607.91015625,518.798828125,-15625.0,2062.98828125,13952.63671875
1133827200015428992,-1317.138671875,607.91015625,518.798828125,-15417.48046875,1672.36328125,14038.0859375
1133827200015494016,-1309.814453125,571.2890625,595.703125,-15295.41015625,1135.25390625,14306.640625
1133827200015559040,-1309.814453125,571.2890625,595.703125,-15002.44140625,891.11328125,14636.23046875
1133827200015624960,-1318.359375,499.267578125,639.6484375,-14880.37109375,317.3828125,14733.88671875
1133827200015689984,-1318.359375,499.267578125,639.6484375,-14624.0234375,0.0,14929.19921875
1133827200015755008,-1318.359375,449.21875,704.345703125,-14526.3671875,-451.66015625,15197.75390625
1133827200015820032,-1318.359375,449.21875,704.345703125,-14135.7421875,-915.52734375,15417.48046875
1133827200015885056,-1313.4765625,394.287109375,760.498046875,-13928.22265625,-1318.359375,15515.13671875
1133827200015949952,-1313.4765625,394.287109375,760.498046875,-13610.83984375,-1794.43359375,15661.62109375
1133827200016014976,-1302.490234375,335.693359375,804.443359375,-13391.11328125,-2209.47265625,15856.93359375
1133827200016080000,-1302.490234375,335.693359375,804.443359375,-13159.1796875,-2624.51171875,16101.07421875
1133827200016145024,-1298.828125,281.982421875,861.81640625,-12780.76171875,-3051.7578125,16247.55859375
1133827200016210048,-1298.828125,281.982421875,861.81640625,-12536.62109375,-3552.24609375,16406.25
1133827200016275968,-1268.310546875,216.064453125,910.64453125,-12231.4453125,-4052.734375,16455.078125
1133827200016340992,-1268.310546875,216.064453125,910.64453125,-11877.44140625,-4345.703125,16503.90625
1133827200016406016,-1265.869140625,158.69140625,964.35546875,-11633.30078125,-4711.9140625,16687.01171875
1133827200016471040,-1265.869140625,158.69140625,964.35546875,-11401.3671875,-5261.23046875,16638.18359375
1133827200016536064,-1230.46875,102.5390625,1008.30078125,-10986.328125,-5603.02734375,16845.703125
1133827200016600960,-1230.46875,102.5390625,1008.30078125,-10681.15234375,-5957.03125,16955.56640625
1133827200016665984,-1219.482421875,47.607421875,1049.8046875,-10363.76953125,-6408.69140625,17004.39453125
1133827200016731008,-1219.482421875,47.607421875,1049.8046875,-10083.0078125,-6848.14453125,17065.4296875
1133827200016796032,-1184.08203125,-12.20703125,1087.646484375,-9631.34765625,-7226.5625,17150.87890625
1133827200016861056,-1184.08203125,-12.20703125,1087.646484375,-9228.515625,-7641.6015625,17028.80859375
1133827200016926976,-1152.34375,-46.38671875,1132.8125,-8911.1328125,-7971.19140625,17102.05078125
1133827200016992000,-1152.34375,-46.38671875,1132.8125,-8557.12890625,-8496.09375,17126.46484375
1133827200017057024,-1110.83984375,-107.421875,1168.212890625,-7995.60546875,-8654.78515625,17114.2578125
1133827200017122048,-1110.83984375,-107.421875,1168.212890625,-7885.7421875,-9057.6171875,17199.70703125
1133827200017186944,-1074.21875,-166.015625,1212.158203125,-7360.83984375,-9460.44921875,17138.671875
1133827200017251968,-1074.21875,-166.015625,1212.158203125,-7080.078125,-9924.31640625,17016.6015625
1133827200017316992,-1046.142578125,-239.2578125,1229.248046875,-6506.34765625,-10144.04296875,17077.63671875
1133827200017382016,-1046.142578125,-239.2578125,1229.248046875,-6262.20703125,-10583.49609375,16955.56640625
1133827200017447040,-1008.30078125,-278.3203125,1263.427734375,-5822.75390625,-10717.7734375,16955.56640625
1133827200017512960,-1008.30078125,-278.3203125,1263.427734375,-5615.234375,-11206.0546875,16857.91015625
1133827200017577984,-952.1484375,-328.369140625,1297.607421875,-5041.50390625,-11499.0234375,16711.42578125
1133827200017643008,-952.1484375,-328.369140625,1297.607421875,-4736.328125,-11853.02734375,16650.390625
1133827200017708032,-928.955078125,-380.859375,1309.814453125,-4284.66796875,-11901.85546875,16687.01171875
1133827200017773056,-928.955078125,-380.859375,1309.814453125,-4052.734375,-12487.79296875,16467.28515625
